Pair;Action;Tanggal Entry;Tanggal Exit;Entry;TP;SL;Keterangan
EURUSD;Buy;2-Jan-15;5-Jan-15;1.2028;1.2155;1.2005;SL
GBPUSD;Sell;2-Jan-15;5-Jan-15;1.5364;1.5238;1.5432;TP
